Date	SST	U	AirT	Humidity	CC	Prec	SWR	inflow	thermD	MLD	W	Bloom
2016-07-30	21.7115421295166	2.1891666666666665	19.55333333333333	81.66666666666667	0.525	0.2	755.9	0.223	-5.0719	-5.19071637284792	12.26635451329456	0
2016-07-31	21.880166666666668	5.371166666666666	18.45375	70.58333333333333	0.3541666666666667	0.0	774.8	0.215	-5.085	-3.547716465122945	5.917470910776312	0
2016-08-01	21.61433333333333	4.111375	17.424583333333334	74.66666666666667	0.5791666666666667	0.8000000000000002	729.8	0.207	-7.0558	-6.513237741485648	2.1930067167185023	1
2016-08-02	21.418333333333333	4.408666666666666	16.47791666666667	80.5	0.3666666666666667	1.3999999999999997	687.2	0.199	-7.5083	-7.233069465792613	4.3243657202044	0
2016-08-03	20.67650032043457	3.900833333333333	16.872083333333332	73.75	0.3708333333333333	7.7	621.0	0.191	-8.1139	-8.002415643018745	4.260867964239983	0
2016-08-04	20.657	4.278375	17.049583333333334	87.625	0.4416666666666666	0.0	587.5	0.188	-8.5419	-8.310730059746895	5.743990724291995	1
2016-08-05	20.59933333333333	3.128166666666667	18.75958333333333	80.79166666666667	0.7374999999999999	0.0	708.4	0.183	-9.166	-8.806828511835977	4.992635594229833	1
2016-08-06	20.69683333333333	2.565125	18.62875	80.70833333333333	0.7291666666666666	0.0	596.5	0.177	-9.4566	-8.711502132615868	13.928439101017537	0
2016-08-07	20.678833333333333	3.4245	18.30375	80.375	0.5458333333333333	0.2	586.6	0.1709999999999999	-9.4784	-5.670751480897878	8.462447734081604	1
2016-08-08	20.451833333333333	5.970375	18.299166666666668	70.04166666666667	0.35	0.8000000000000002	532.7	0.165	-9.5011	-7.324780602425555	8.008416691162253	0
2016-08-09	19.798	7.228416666666667	15.55625	64.58333333333333	0.6375000000000001	0.1	348.3	0.16	-9.9791	-9.712104376955944	2.7924903150732434	1
2016-08-10	19.06983333333333	4.5789583333333335	13.943333333333332	68.16666666666667	0.3166666666666666	0.2	670.4	0.154	-11.9501	-11.71540106505237	2.530014496071053	1
2016-08-11	18.699166666666667	4.708916666666666	12.13125	80.08333333333333	0.6416666666666667	0.8000000000000002	704.8	0.15	-12.3846	-12.21163877429419	6.0303142098729445	0
2016-08-12	18.434166666666663	4.041416666666667	14.058749999999998	68.125	0.4666666666666666	0.6	687.6	0.146	-13.4158	-13.19604329975465	5.366462797425449	1
2016-08-13	18.241333333333333	5.073666666666667	17.030416666666667	81.25	0.7875000000000001	0.1	532.6	0.142	-13.5494	-13.63676511156257	7.268925841363405	0
2016-08-14	17.91364097595215	4.721125	14.4275	80.75	0.6125	1.9	615.2	0.136	-13.9822	-13.7824021847955	4.737535647888439	1
2016-08-15	17.948666666666664	6.667666666666666	13.2175	79.125	0.7000000000000001	0.0	367.7	0.133	-14.2925	-14.21932806303721	5.061832348278351	0
2016-08-16	17.523666666666667	7.23975	14.486666666666666	75.58333333333333	0.8083333333333332	0.1	430.7	0.13	-15.0961	-15.71653467090755	2.790447241593907	1
2016-08-17	17.000215530395508	7.024249999999999	14.83625	83.95833333333333	0.8208333333333333	2.2	242.5	0.126	-16.517	-18.18609079825208	2.545580126322073	0
2016-08-18	16.738548278808594	5.370333333333334	14.734166666666669	91.70833333333331	0.9333333333333332	19.5	232.8	0.124	-19.9209	-20.19830213800212	2.862448326286636	1
2016-08-19	17.05816666666667	3.146333333333333	15.142083333333332	93.25	0.7833333333333333	2.3	451.2	0.15	-20.75	-21.0	0.845142075738679	1
2016-08-20	16.760406494140625	2.978291666666667	16.362916666666667	88.29166666666667	0.6916666666666668	2.7999999999999994	596.8	0.15	-20.75	-21.0	0.5468648696185957	1
2016-08-21	17.436666666666667	1.532125	15.829166666666666	98.20833333333331	0.9166666666666666	8.8	151.2	0.148	-1.6858	-6.499953448540565	0.4126156493566514	0
2016-08-22	17.361833333333333	2.6886666666666668	16.50583333333333	91.25	0.8958333333333334	0.2	446.2	0.288	-4.6463	-4.125997803182057	1.101433643267287	0
2016-08-23	17.202848434448242	2.4698333333333333	16.423333333333336	87.75	0.4125	0.4000000000000001	636.9	0.369	-5.194	-5.386382685808045	0.5551002655561291	1
2016-08-24	18.013	1.48775	16.053333333333335	82.16666666666667	0.3416666666666666	0.0	638.2	0.412	-5.9246	-4.880992632616415	0.8108878047760549	0
2016-08-25	18.23333333333333	2.3172083333333333	17.824583333333333	90.375	0.5791666666666667	14.0	475.0	0.523	-0.98035	-4.679612097813529	2.531974281894508	0
2016-08-26	18.669	2.919833333333333	19.575	86.66666666666667	0.5708333333333334	0.0	646.0	0.556	-3.0857	-2.714361719105564	0.5750617011680532	1
2016-08-27	18.52233333333333	8.290083333333333	18.13625	68.16666666666667	0.1458333333333333	0.0	624.9	0.534	-3.2703	-2.97499111234865	0.4528057399261531	1
2016-08-28	17.962666666666667	2.7107083333333333	13.137083333333337	86.66666666666667	0.6625	6.099999999999999	333.4	0.505	-17.0878	-16.88380617555232	0.6219401944027776	0
2016-08-29	17.469666666666665	4.197166666666667	13.685416666666669	98.25	0.975	25.8	100.7	0.598	-17.5244	-17.08767398818527	8.214514599393638	1
2016-08-30	17.346999999999998	5.5065	14.558333333333335	82.375	0.4791666666666667	0.0	554.5	0.679	-18.4587	-18.6963669943749	2.078043426545594	0
2016-08-31	17.189401626586914	3.694875	16.447083333333335	87.91666666666667	0.75	0.0	582.5	0.703	-20.75	-21.0	0.2689024218756629	0
2016-09-01	17.419833333333333	5.6853750000000005	16.917083333333334	78.08333333333333	0.9166666666666666	0.0	460.2	0.799	-20.75	-21.0	0.2619612086780356	0
2016-09-02	17.369333333333334	4.91475	15.785416666666668	77.54166666666667	0.5583333333333333	0.5	616.3	0.978	-20.75	-21.0	0.2178854252461685	0
2016-09-03	17.298666666666666	3.165375	15.088333333333331	89.83333333333333	0.8458333333333333	0.2	268.7	0.985	-20.75	-21.0	0.0542679313857416	0
2016-09-04	17.12933333333333	6.264833333333333	12.691249999999998	91.5	0.5708333333333333	1.0	323.2	0.931	-20.75	-21.0	0.1144506621716001	0
